"NO_ALUNO";"NU_CPF";"CO_CICLO_MATRICULA";"NO_STATUS_MATRICULA"
"TzRlNW cArALr BjnFdS";"58935027790";"1938722";"ABANDONO"
"wDJRoo dDxZIu NgYMHr";"74841794852";"1938722";"ABANDONO"
"wigmIN hZWBMP yCCmIi";"96461809567";"1938722";"ABANDONO"
"XAbofe DnvYBg NKJiaY";"66270793795";"1938722";"ABANDONO"
"iWMpxh oWFTHF dMqvYF";"56842203716";"1938722";"ABANDONO"
"iFUsgM uODAjO zmvnyk";"51152795456";"1938722";"ABANDONO"
"dycnNg giJxlb bQzBQc";"72287468743";"1938722";"ABANDONO"
"HZtFUm WcAhfI wUifrU";"03304880690";"1938722";"ABANDONO"
"oiUWQh cCYlEt maHZwv";"59478358466";"1938722";"ABANDONO"
"XXsyQF ZQvxJI yxjzNW";"53892843990";"1938722";"ABANDONO"
"WpcnSP mznlWA rlLPea";"41675768003";"1938722";"ABANDONO"
"ShoWaE hLdnJo jTdcqE";"50339987682";"1938722";"ABANDONO"
"ZIOaIH OdYDQn htecAg";"65219086341";"1938722";"ABANDONO"
"tRyEjF DlFPoh KQGZrf";"27177280506";"1938722";"DESLIGADO"
"gtuIlg kdZyRb HzdhTF";"66649407638";"1938722";"ABANDONO"
"uqWxCe MhUQRL qLERzu";"03754079771";"1938722";"ABANDONO"
"MxcOcj EcpAZg mpOFJS";"74673983344";"1938722";"INTEGRALIZADA"
"leJdJu akZgnC riyGOG";"46815960637";"1938722";"EM_CURSO"
"pZOzdG jZnRiD YjWpdc";"30814774642";"1938722";"CONCLUÍDA"
"ZZINHI QFZoha xJgCvX";"20008752541";"1938722";"CONCLUÍDA"
"BSJugZ KMHjMA mesLVQ";"91119379894";"1938722";"ABANDONO"
"fgElSj SeSbeU LQlEbX";"11585563188";"1938722";"ABANDONO"
"CRvCds TZzpLn kTUtwm";"20856249546";"1938722";"CONCLUÍDA"
"AAkZbi jvuLIV eIEuln";"52908001816";"1938722";"CONCLUÍDA"
"IJkdOs eoeEHk noBzLB";"62814405342";"1938722";"INTEGRALIZADA"
"OYDbua DOzptm HdjkPt";"85496703800";"1938722";"INTEGRALIZADA"
"EqqqSU vYkSTh xSRmUh";"22328319978";"1938722";"INTEGRALIZADA"
"HnVNeB uxFCeD vpiZSO";"64656426700";"1938722";"INTEGRALIZADA"
"YIoQBj dYIkKg nMuamm";"28157278108";"1938722";"INTEGRALIZADA"
"XXgqVB ytBSyG UJmIyz";"79356699441";"1938722";"CONCLUÍDA"
"aXELJG XwdZHm suqOoz";"89620274724";"1938722";"ABANDONO"
"PtJleS aVmdKd ZZuHLq";"26990680626";"1938722";"INTEGRALIZADA"
"MYlEpw oexDQj ukeLyC";"76938379595";"1938722";"CONCLUÍDA"
"OQqSMG avhvBE xjTjIZ";"91766939109";"1965103";"CONCLUÍDA"
"SJLuZV UMLYjO CGTpVu";"85028194062";"1965103";"CONCLUÍDA"
"zvWwRF UnaPKB XKpkWt";"97339873036";"1965103";"CONCLUÍDA"
"Gloriz uVUyrL zyoRGl";"03651168396";"1965103";"CONCLUÍDA"
"Pnzrar hcieGt wkZWmf";"52177896445";"1965103";"CONCLUÍDA"
"rQuKkH bDSRJj nRPvtN";"25837552547";"1965103";"CONCLUÍDA"
"tlJeNP llqzZn DjgoMx";"50648328852";"1965103";"EM_CURSO"
"pgRZgd MJjYJk BxCzPR";"97558161150";"1965103";"INTEGRALIZADA"
"yKeGUF lYpfpA ULhpMn";"53473467950";"1965103";"INTEGRALIZADA"
"TscyTX VBBQqS AruHNK";"62261206728";"1965103";"ABANDONO"
"KQIlnX wXqAIi GqhuFK";"08328870600";"1965103";"ABANDONO"
"zHioUH HAhGTd MnkYoJ";"59007747617";"1965103";"ABANDONO"
"pBniST FKZJru SuIjxi";"97338008766";"1965103";"ABANDONO"
"foxBvJ XsMgBg MbGYTy";"72094707255";"1965103";"ABANDONO"
"YUiVcF BbzuyX OgkTPw";"14954895169";"1965103";"ABANDONO"
"UbrBwO xtfOqh sshuGk";"89171823758";"1965103";"ABANDONO"
"noxZRM erFzyv wcfNKA";"33752170578";"1965103";"ABANDONO"
"sdqVuw ZLLRqR PTeOPR";"71752060625";"1965103";"CONCLUÍDA"
"abVTbR EwpdTk LpnnhW";"36354749268";"1965103";"ABANDONO"
"dZVRlp qrYkvE JNpfJY";"13058449413";"1965103";"EM_CURSO"
"PaXczY HhKNVO ObZEbC";"28320902474";"1965103";"INTEGRALIZADA"
"wsFAbB PktorA zTWmDL";"48755018435";"1965103";"DESLIGADO"
"CxFxTS RHYfCe AhAqPg";"06463199157";"1965103";"DESLIGADO"
"qNnoCg WLKmSp oyvIeY";"93763746988";"1965103";"DESLIGADO"
"KXFnNV vKYYZP LNufRB";"80677509461";"1965103";"CONCLUÍDA"
"WHLOOO NmanzD ohGCXY";"30749280797";"1965103";"INTEGRALIZADA"
"HOPYES gWtUXK nWqvIs";"07178175389";"1965103";"INTEGRALIZADA"
"SOeBnh bOQydd bydWij";"85724832371";"1965103";"EM_CURSO"
"mkpTRc CpvOZH BJZGEc";"64676004416";"1965103";"INTEGRALIZADA"
"hcvFvc IBkzef FMuKpK";"35768597571";"1965103";"CONCLUÍDA"
"EpseNv EKLJRf axnwBJ";"48822003892";"1965103";"ABANDONO"
"ZGePrj UKYhMp aGJkhP";"81277073476";"1965103";"CONCLUÍDA"
"mBMitX WEdyZW tHXnGo";"82471200091";"1965103";"DESLIGADO"
"MAhMot cYTzAb vfARir";"97811278533";"1965103";"ABANDONO"
"GtLKQg oRWmbS AeNaSI";"48917546727";"1965103";"ABANDONO"
"uVSLHv PdHGjs yBxAuF";"72031597502";"1965103";"ABANDONO"
"HoHXVt CYsRGY NSDjKL";"13324454057";"1965103";"ABANDONO"
"dBIbtl fLaZzV dVUPNH";"77028996293";"1965103";"CONCLUÍDA"
"oDvQgO URaJSh xIfXQO";"64500301729";"1965103";"CONCLUÍDA"
"WYRCsQ kSpneb NCuhOU";"84848539363";"1965103";"INTEGRALIZADA"
"Xtttlp pwrYaV sHBZIQ";"03420576689";"1965103";"INTEGRALIZADA"
"LRYdLm hROdwR eBPVMO";"75267408234";"1965103";"INTEGRALIZADA"
"kQzFRQ KiGFYQ SFJhuS";"20681499843";"1965103";"INTEGRALIZADA"
"vnxbGO WDHSIi QOSazX";"68038515727";"1965103";"INTEGRALIZADA"
