"NO_ALUNO";"CO_CICLO_MATRICULA";"NO_STATUS_MATRICULA";"NU_CPF"
"mnKcaA KRdlXC QjTlXq";"808519";"ABANDONO";60413336337
"TgvUOR uEEFbB ooXgkb";"808519";"ABANDONO";49775679009
"wBFjtq NHMhLI glZlBw";"808519";"ABANDONO";79315990779
"lZZPrs OtUcfk XWWpsl";"808519";"ABANDONO";51977148371
"vWLOVf ftLeyl bwSRhn";"808519";"ABANDONO";22340387845
"JQGxRt wuXqbt UzeUwl";"808519";"ABANDONO";75666676177
"gOYCPV dhFIKU raYEzt";"808519";"ABANDONO";85352444730
"cdGMEe hvbzck qCTGPq";"808519";"ABANDONO";66824708986
"RXQvwX seOOfQ gCVrJx";"808519";"CONCLUÍDA";75113118344
"HTCBAy XnqPrL GOyMCP";"808519";"ABANDONO";18223379592
"rImUAi caMEuk ZCezry";"808519";"ABANDONO";87185117136
"hyoePW UeolIY vBNWnS";"808519";"CONCLUÍDA";98936374242
"mUvQWs GiDuVo cuFqTR";"808519";"ABANDONO";50894347632
"mkQtVJ ghRBFa mdErXD";"808519";"CONCLUÍDA";342393422
"lCYhYh ReMnvI CZCjOZ";"808519";"CONCLUÍDA";58398510831
"mdFCQt crbKfW onPvRB";"808519";"ABANDONO";90335748001
"uAEVtL nTLefE XZhFqh";"808519";"ABANDONO";24430044276
"MUsTjv AIzMJn BWCCuH";"808519";"ABANDONO";55144343568
"peVfDV cOyJBL HsluSf";"808519";"ABANDONO";796978839
"hplikY ALfDuk OugJcU";"808519";"ABANDONO";11440714683
"olRhqs ogmVEl HkTzSu";"808519";"ABANDONO";71886081905
"QnDxvc yxvrlC EOEYBW";"808519";"ABANDONO";24822358489
"AlBYOw uAQHCf MZsrIl";"808519";"ABANDONO";44625310748
"IZHcqg YBvzJg qSjqla";"808519";"CONCLUÍDA";99777914612
"pmgjyr JZcpvc xuCyBt";"808519";"CONCLUÍDA";65144470547
"NJEUhN zaqeNA Amqbrc";"808519";"ABANDONO";27777355869
"JoTIMg DWkCbr YhdkrA";"808519";"CONCLUÍDA";84199073410
"OFYqQI YlvKDG SmzPhH";"808519";"DESLIGADO";72569769416
"HAajzm rYSfVG rSuYHn";"808519";"ABANDONO";65480080213
"XqdGjX fbYQDg GZVsAz";"808519";"ABANDONO";15076062949
"jkytxy Kwydnr wdIBTw";"808519";"ABANDONO";40268205843
"fgJRes tKDFVX FcxwvW";"808519";"DESLIGADO";50488716369
"xbdDGL tXhBne VOqOWE";"808519";"CONCLUÍDA";14162569714
"nfZDsv CnHwYP eFzXfv";"808519";"ABANDONO";27689716066
"OOcySi JSTBXI qVEREl";"808519";"CONCLUÍDA";51846997771
"tfrIAn UmJJXk aLOdPZ";"808519";"ABANDONO";30635030876
"XPuWjW miuals UnazuN";"808519";"ABANDONO";7314528714
"NCNwZV OGnvuA ouMhtb";"808519";"ABANDONO";29795195017
"fnriBt jPPxQH dMyJXU";"808519";"DESLIGADO";86434566028
"szBmbo xeFWQo voUjXt";"808519";"CONCLUÍDA";72930072684
"WyYYMT emVmpW WZauON";"808519";"ABANDONO";17356989144
"uBqlDJ KfTtaR yooZAa";"808519";"ABANDONO";37358923340
"KdXXsv YDMZvg NHaTtQ";"808519";"ABANDONO";41458205218
"VXVbHV itvZzr ZFGvmQ";"808519";"ABANDONO";55365292687
"sZZVwS ZZDbZy BALjkE";"808519";"CONCLUÍDA";67448727080
"dbJHxf IpnvlQ iGXrFc";"808519";"ABANDONO";62063902048
"yzIkHK WcArjO gDluhF";"808519";"ABANDONO";58162023877
"kPukto OTTCOD CGgvrq";"808519";"ABANDONO";38693367798
"CLBoKK gznxPn nbpYmi";"808519";"ABANDONO";91123516637
"HZpgKy plbsBM DdUIUw";"808519";"ABANDONO";47468471229
"fhvjak OsfikS dCggZS";"808519";"ABANDONO";76806519084
"PKJvgr QOTiFs RZGCnE";"808519";"ABANDONO";9674729318
"IAMafo Wiynun uWyrWM";"808519";"ABANDONO";81604129741
"BxWTVK GrPFcG nlRrYp";"808519";"CONCLUÍDA";72087138569
"oXAlQh KyFUNN vZubXg";"808519";"ABANDONO";26829182334
"llegaS zvbsbv CMrqJP";"808519";"ABANDONO";1080366929
"hsQKFx sppwHd YgOoom";"808519";"ABANDONO";13659238947
"wjXjvu vEnikr eiMVEg";"808519";"ABANDONO";64213080964
"dYYUmp DjQvnH gsuSDU";"808519";"ABANDONO";26337947062
"AjjpKo dagejY Lztrxo";"808519";"DESLIGADO";89871667325
"rwPuUc Nciuan bJJwom";"808519";"ABANDONO";92524263178
"qvTEpW YNMTQs iIMlWH";"808519";"ABANDONO";40278070820
"onTkOZ eDNstY NJenNS";"808519";"ABANDONO";61150211233
"IRoZlp lEKqsY KqUoUk";"808519";"CONCLUÍDA";72842138477
"WqJUmW ONVejl QlPzcH";"808519";"ABANDONO";35877216220
"yWfMrr DNWDyz sUXtbf";"808519";"CONCLUÍDA";9444439934
"dQRumS SUAWuq VpDZSo";"808519";"CONCLUÍDA";52641156960
"NzOCfa RTjgdo UlhqBj";"808519";"CONCLUÍDA";28474239254
"nyeIpR DYJbub VaHCRI";"808519";"ABANDONO";70689484779
"nwVAnt PxhbxY yFpkAC";"808519";"DESLIGADO";66259305029
"vtJxGj vRrkkB vCUtJt";"808519";"ABANDONO";16720877021
"wmYUfd YLjtnj CGGWJV";"808519";"CONCLUÍDA";56015440904
"RSdRdb OZVngh chEEeN";"808519";"ABANDONO";20620496182
"sSFWNr hBMIWJ wbUkiZ";"808519";"ABANDONO";2698023815
"qpUbCJ VLokvO AhkPef";"808519";"ABANDONO";90570873530
"JwxiIG HGPGXy drkrlV";"808519";"ABANDONO";40243324075
"CZNbcD BjDFwg buSeQA";"808519";"ABANDONO";52575278849
"zycGug vCqjxY HZSHVd";"823259";"ABANDONO";4625268908
"GMpRql xMiyTw ujBJXM";"823259";"CONCLUÍDA";69958867298
"QiydhF OMJoxj IzYaQb";"823259";"ABANDONO";78724853802
"VCnRKA CXYjIT UuxZTo";"823259";"ABANDONO";22443485811
"aqCUZU EUOHzb DKTBYI";"823259";"ABANDONO";93651065535
"TeYLlQ BaRTbA inLyMR";"823259";"CONCLUÍDA";67622247867
"QyIDly TSQnJc qFeEam";"823259";"ABANDONO";95701459068
"RmkGjT QhvmDm sIynLU";"823259";"ABANDONO";94977065756
"cxsEyd mCBeGY QhTFUu";"823259";"ABANDONO";91668522211
"NSNSvs COJmHs PJqFBL";"823259";"CONCLUÍDA";63004303868
"oweDcm IZeTJv oKgFwe";"823259";"CONCLUÍDA";97674066711
"vPdjpA EQoNzW whwGoE";"823259";"CONCLUÍDA";86190326477
"AzyKEU mWSBHO UnCpzE";"823259";"ABANDONO";88795773047
"JOLGwc ZpjWiQ ISXliM";"823259";"ABANDONO";81190774879
"JfIFhV aygNKN GKLNyW";"823259";"ABANDONO";26632897725
"LWWumj XUXcfg ocqhHw";"823259";"CONCLUÍDA";11994614671
"wJVJbF CcNJWe uYmsrP";"823259";"CONCLUÍDA";80047368904
"ETuWaG kJOxQd xTirKZ";"823259";"ABANDONO";59247377030
"xRigFi UtPwrJ EXnQwV";"823259";"ABANDONO";17963247946
"vnUVip ifsOOL VQrFRt";"823259";"ABANDONO";43232343869
"iBHmzK YtISVz TPeyfo";"823259";"ABANDONO";87030328396
"vYeAXI dOSeSU QxAvph";"823259";"ABANDONO";43986330341
"IYNZYk uXJLnk ExTVyo";"823259";"ABANDONO";80311702157
"iWDzBB BFWArw MAzISz";"823259";"ABANDONO";93916387441
"Uhshiq crNCfp zOLlGh";"2022768";"INTEGRALIZADA";47665477910
"Uhshiq crNCfp zOLlGh";"823259";"ABANDONO";47665477910
"NBoVSF MyUFIL gyKFVT";"823259";"ABANDONO";63926607796
"BnseMJ kXwZNv tClJYv";"823259";"CONCLUÍDA";70907231230
"WZCUtN OTIebx eeeFuU";"823259";"ABANDONO";45832568250
"DfFoEK bKOSWM KCXLMn";"823259";"CONCLUÍDA";197482563
"htaFPT zHbDnA xIJzVA";"823259";"ABANDONO";33733173645
"sHRWqb UCQOoY qURpOk";"823259";"ABANDONO";82766574125
"AUPeRn xQCHsa dkoTCg";"823259";"CONCLUÍDA";30697643717
"TbyMoj YIPpjT aQIVDH";"823259";"ABANDONO";55943987630
"oRnJTz wmuSrn LeRwNH";"823259";"CONCLUÍDA";66559364435
"zBjUFR plPSmC GUpCZu";"823259";"CONCLUÍDA";15777795074
"MHKvDj mCvbtb FldxuO";"823259";"ABANDONO";79516402428
"urzLmS ONbjei maXJjy";"823259";"ABANDONO";30996384852
"VswYAV rBbixr KYCmGR";"823259";"ABANDONO";84309228638
"SUSYYO ejdZBF WcFyUh";"823259";"ABANDONO";35175586683
"IbtRRh IwrAii uUNjzW";"823259";"ABANDONO";66229023952
"ZeQlcM frPbPN iaLJsL";"823259";"CONCLUÍDA";63060695560
"wLRyJc nuDBPc RHVasc";"823259";"ABANDONO";61639316739
"LqUkLw yllbxx mUrvXk";"823259";"CONCLUÍDA";26858949231
"NltnLS ofwudo lUjxch";"823259";"CONCLUÍDA";9838996243
"lJMmBZ ppldZR PBPqvF";"823259";"DESLIGADO";4619015853
"GXckCt hINwKe gVySRB";"823259";"ABANDONO";57401680
"qBkQmd boLFDN cQCBlR";"823259";"ABANDONO";30351401512
"sNLgbX DUfOhU SnCpab";"823259";"ABANDONO";89764873410
"osxyKi dadrWX wAddKy";"823259";"ABANDONO";39577170130
"mGYBJJ mGPRub JtVbwp";"823259";"ABANDONO";93370965670
"mmYaSL MQiEco niTrjd";"823259";"DESLIGADO";60729057098
"ypCeqZ WTuiEE rBgxod";"823259";"CONCLUÍDA";24696423819
"LyUqic Wewuta fPSKAS";"823259";"ABANDONO";70122687772
"zaqBkx cpiAnO yQVkdI";"823259";"ABANDONO";45003948194
"QYssrS xvCOMQ meYPGZ";"823259";"ABANDONO";79882848558
"ZEUQEz HSEAMY tsMmDq";"823259";"ABANDONO";65821172777
"SqHkvT gzSpgP vdhyph";"823259";"ABANDONO";30733619207
"HtlDaY RuCtDk PSmiQd";"823259";"CONCLUÍDA";57565047534
"uDwwOi MdZNcX CpmGhZ";"823259";"CONCLUÍDA";62838914299
"PhSqjI pOCaLF RNCwQj";"823259";"ABANDONO";23980487925
"tIJRul IAlQun ClpYfY";"823259";"ABANDONO";78099377509
"XLjRcr CGiTwr cUFsSu";"823259";"ABANDONO";40080016931
"RoZeSC slvMGb avFvho";"823259";"CONCLUÍDA";77774700823
"VaHEbs YVxICk mGhqgJ";"823259";"ABANDONO";78003294571
"BajSBd QhDVOG ecoYXs";"823259";"ABANDONO";19678909994
"YpMmBp tWfXPW WXPVeH";"823259";"ABANDONO";57011936393
"FEDPoS KoKLnn BkQgGi";"823259";"ABANDONO";99680635477
"mxKFyk ajqWTD NseZEo";"823259";"ABANDONO";77091357205
"sVUrkB hRxETg UqpZPv";"823259";"CONCLUÍDA";68576885431
"SKUqnR yKVXrH BuBEsj";"823259";"ABANDONO";72886096583
"YjqpqB hfErpU azPIPW";"823259";"ABANDONO";68572510424
"lTXJhi TIenQD VyDNQm";"823259";"CONCLUÍDA";91711980052
"MRyfaX wZUtrO QFWKrf";"1849131";"CONCLUÍDA";50189208871
"iclLEI myAykb TKexUo";"1849131";"ABANDONO";20036995953
"RSsLel mtNfHE UlQGch";"1849131";"CONCLUÍDA";50139322961
"daNyDe TVKVdX xGNpxb";"1849131";"CONCLUÍDA";38249583561
"mwAzoC ofZifS phihnw";"1849131";"ABANDONO";54383034480
"wORUzc hMqUrh ZfiycF";"1849131";"ABANDONO";73627222037
"WdHZPS WIiRFY zHIvuE";"1849131";"ABANDONO";67489553942
"tStNix lIqTAk DHAQXn";"1849131";"ABANDONO";60276405183
"LoDqcz PkEpng hSAfip";"1849131";"ABANDONO";59570205760
"BsZBfz XAuYpB RQOJVU";"1849131";"ABANDONO";11786863904
"sunkft hcDYGm dEQkHf";"1849131";"ABANDONO";1012524270
"ycjFpo BYofqk XYMfOC";"1849131";"CONCLUÍDA";73174427318
"bZNBnI VeTVJm oJopSJ";"1849131";"CONCLUÍDA";90281644682
"rAExkD VomqjY otqkMJ";"1849131";"CONCLUÍDA";18348433910
"nuOLRZ IbfVlm ZvbGvV";"1849131";"CONCLUÍDA";25436565808
"myqRfF hLqxiE kHGvqF";"1849131";"ABANDONO";4335941837
"zHWbuz ipzPPz hoTwYO";"1849131";"ABANDONO";62053522784
"RmgHQG AJqkcE UysHIq";"1849131";"CONCLUÍDA";33236075390
"bPPnyi MrTwGy HmsaLM";"1849131";"ABANDONO";26789289596
"ywVWTw PButYc wJCfCV";"1849131";"ABANDONO";26827589236
"ckmdGb MceLuc NmUQTm";"1849131";"ABANDONO";16676064015
"sYdMOQ kjhJiR xMFMME";"1849131";"CONCLUÍDA";48301005665
"dmtDsP PuEwpV qhXeud";"1849131";"ABANDONO";94837603715
"LiIYlJ MTMDQl WkAItf";"1849131";"CONCLUÍDA";45803917532
"uXLjpf DYkeaT cgBdOx";"1849131";"ABANDONO";71747912813
"QMmnaj OYcxeF Nalgmk";"1849131";"ABANDONO";69580704154
"yKfJEo pZzswD PCQLCp";"1849131";"ABANDONO";95605260016
"snIiRq VETSrN qBXrXU";"1849131";"ABANDONO";97846523259
"kdaiAu odYOcW aFrEzw";"1849131";"ABANDONO";97564015112
"WRCjyc RbsMkO IZyVIM";"1849131";"ABANDONO";42116292662
"logmiV oIDjfM YrImIY";"1849131";"ABANDONO";79815115598
"Hpwpwt jPSiiT FxDUHE";"1849131";"ABANDONO";83452702722
"zMIJLd waaOTu cyrtGt";"1849131";"ABANDONO";42715122455
"xlKfpn meSAaF GUymqx";"1849131";"ABANDONO";33590420529
"nqrhfP dVPUxZ acFDoo";"1849131";"ABANDONO";71503802304
"MoQNDr wpAIeo MTvLEr";"1849131";"ABANDONO";93733603223
"OlCLAB NbbVsM FHGamR";"1849131";"ABANDONO";46575467937
"xSZaiN MwIDhx yOEYRk";"1849131";"ABANDONO";20659535108
"JHxVCd KbcoYS jtlvTn";"1849131";"CONCLUÍDA";58185782222
"DWKuiN mXHUPs QFxsvs";"1849131";"ABANDONO";27302764792
"lvintq EsQjQG oMZaRO";"1849131";"ABANDONO";68242896847
"HWAGWg tTJuGZ yVMuTo";"1849131";"CONCLUÍDA";14014544233
"qpbzpX vJCobr oCFsnp";"1849131";"ABANDONO";21652687802
"QlhDAk McLGIQ qvVVkA";"1849131";"CONCLUÍDA";30089410404
"OdXoDx QVjGtb ElJgzx";"1849131";"ABANDONO";66549080060
"TElJOE FdANbC dgHfeq";"1849131";"CONCLUÍDA";31535981625
"bKhvpx FTLAfS xIawmu";"1849131";"ABANDONO";10461057340
"qzUGSy GdzAGg glCTNr";"1849131";"ABANDONO";49067608944
"QdQWfs hXDEBn ciSlwB";"1849131";"EM_CURSO";74476490471
"xZnLjK roWoSW UMbVyB";"1849131";"ABANDONO";87824969414
"xqVYyi pjkujC PyBxGQ";"1849131";"ABANDONO";60265635073
"Qmkggh xhdKGy SFLWvt";"1849131";"ABANDONO";63355571544
"LUZnHJ xNHnXV dhFvpi";"1849131";"ABANDONO";56284103826
"yrkdQW bPvBkO nwVBxT";"1849131";"CONCLUÍDA";29132534722
"YtEbGw uGlkkz qpNxBW";"1849131";"ABANDONO";50281981925
"aokMYF QsVvUm RMOhQW";"1849131";"ABANDONO";75392273304
"XkUhNC mrayZF NdccTt";"1849131";"ABANDONO";61402998314
"qvRmkm aepuHf ACUDTP";"1849131";"ABANDONO";3782131651
"tspQsQ wXLKjo wUMvQC";"1849131";"DESLIGADO";72929524767
"CoQhFB ThoXdU xtNueG";"1849131";"CONCLUÍDA";25910643949
"TZbAlA TBZLEv VZhJIf";"1849131";"CONCLUÍDA";86971790891
