"Nome Aluno";"Numero Cpf";"Co Ciclo Matricula";"Situação Matricula";"No Curso";"Dt Data Inicio";"Unidade Ensino"
"aHfHzl YwoPDj FiExDC";"591.034.200-28";2608765;"EM_CURSO";"TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO";"01/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AhnRUd MiAqOl EPJHuy";"055.170.174-87";2580854;"EM_CURSO";"TÉCNICO EM ELETROTÉCNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AHuGLm cHtQoB pCFGMv";"022.632.360-32";2671138;"EM_CURSO";"TÉCNICO EM EDIFICAÇÕES";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aiAoHX PVRfaY HBKRBI";"060.389.668-33";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AIovFH GSRUyx EtqsVa";"445.778.774-65";2641105;"EM_CURSO";"ENSINO DA MATEMÁTICA NO ENSINO MÉDIO";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aIpqGu tTiidG EidqsS";"616.184.359-60";2671138;"EM_CURSO";"TÉCNICO EM EDIFICAÇÕES";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aIUeBK WYuqMm YbQeSg";"570.669.306-77";2628113;"EM_CURSO";"GESTÃO PÚBLICA";"06/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aiWeOq gxlkGu xVVsPf";"158.281.906-25";2638114;"EM_CURSO";"GESTÃO AMBIENTAL";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aJFzhr zBdBzU zGBPOs";"416.810.381-47";2608759;"EM_CURSO";"TÉCNICO EM QUÍMICA";"02/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aJlmUs YVyCbN uzLPpi";"206.322.782-69";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AJqXNC FycgCZ yLLagt";"200.539.001-44";2628203;"EM_CURSO";"GEOGRAFIA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AjZNtA IJznMz veKIkG";"636.061.218-12";2578410;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AjzxTg fneckU qYXqeO";"845.577.956-98";2635631;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AkbmnC gJSwEx MVtCba";"412.696.173-72";2671186;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"akeeJw maPrSa PcFWKF";"593.650.246-97";2592436;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aKhHkp UVZsfD jaGiVm";"710.446.064-43";2580854;"EM_CURSO";"TÉCNICO EM ELETROTÉCNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AkMdsU ZcGdOk zccbAW";"281.869.757-97";2636508;"EM_CURSO";"GESTÃO DE TURISMO";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"akSMxh JqGJWv lgDAsS";"575.382.492-40";2592443;"EM_CURSO";"GEOGRAFIA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AKTMhA dvwtfb KvCdED";"754.115.660-81";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AkygtV EvOuFM xdKpfh";"148.161.052-53";2638172;"EM_CURSO";"RADIOLOGIA";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"akZJyX Dopotb ValRIS";"358.930.351-75";2580867;"EM_CURSO";"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AliBFN PUICDZ xdbjcz";"362.863.431-69";2628203;"EM_CURSO";"GEOGRAFIA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AljVqU ikDrFI Emiwaq";"597.147.600-96";2578406;"EM_CURSO";"TÉCNICO EM EDIFICAÇÕES";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aLlOhK OqVoOE fyjMJg";"732.755.807-12";2649723;"EM_CURSO";"TÉCNICO EM ELETRÔNICA";"02/09/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AlPhNP ojAirk dHdRjP";"066.002.404-38";2649723;"EM_CURSO";"TÉCNICO EM ELETRÔNICA";"02/09/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"amevJF cXgwfS anSjWP";"674.002.486-80";2640319;"EM_CURSO";"TÉCNICO EM QUÍMICA";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aMjtWV MjDSdY mEMAag";"794.427.470-94";2640323;"EM_CURSO";"TÉCNICO EM QUÍMICA";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aNOBPD GlEQXB RhMDkK";"081.431.696-75";2636508;"EM_CURSO";"GESTÃO DE TURISMO";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AOIAqK YhuDRg ZxRahm";"309.622.205-95";2671138;"EM_CURSO";"TÉCNICO EM EDIFICAÇÕES";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aoqRGP ASlZuF bjhyYy";"206.694.645-75";2649719;"EM_CURSO";"TÉCNICO EM ELETRÔNICA";"02/09/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AoQUKA MrlWUn SKXagR";"235.401.418-22";2638178;"EM_CURSO";"DESIGN GRÁFICO";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aOsBZU bsnZbE JnxCkR";"803.696.659-72";2636508;"EM_CURSO";"GESTÃO DE TURISMO";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aovtdx NeMPXT dwGDuO";"247.000.182-12";2580867;"DESLIGADO";"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aOySlK VoDRzL VsWdJE";"274.731.538-75";2628203;"EM_CURSO";"GEOGRAFIA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"ApmlAC cEtSyG FHqCTV";"309.893.522-65";2640319;"EM_CURSO";"TÉCNICO EM QUÍMICA";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"APNguZ fzobgP IizIgQ";"239.179.843-16";2575384;"EM_CURSO";"GESTÃO DE TURISMO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aPQOQA PKMlol wKxHAj";"704.243.863-32";2628113;"EM_CURSO";"GESTÃO PÚBLICA";"06/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"APRkIF vRmlEw noikZD";"514.195.713-19";2636508;"EM_CURSO";"GESTÃO DE TURISMO";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"apUUti shMEjP TwMMfq";"162.763.856-29";2592416;"ABANDONO";"GESTÃO AMBIENTAL";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"APUweJ ESZGlJ knKMQW";"454.893.091-51";2638172;"EM_CURSO";"RADIOLOGIA";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aqedBl onSpbG reuiQw";"279.427.594-08";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AQIhBr NZvueT mjMxNg";"948.483.956-32";2580858;"ABANDONO";"TÉCNICO EM TELECOMUNICAÇÕES";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AqloBt sOUnwi xVHfyL";"197.426.063-60";2592436;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aQozSy UGxObi zBCddn";"080.837.522-74";2578399;"EM_CURSO";"TÉCNICO EM EDIFICAÇÕES";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aRKyQw lPcQts EHFpiU";"806.080.762-02";2641105;"EM_CURSO";"ENSINO DA MATEMÁTICA NO ENSINO MÉDIO";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"ArNfts cetFfn jSknrw";"120.940.374-83";2649730;"EM_CURSO";"TÉCNICO EM TELECOMUNICAÇÕES";"02/09/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"asXNXU FEERuc bmSinN";"632.466.137-13";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AsxTOX FgGHoQ FeNcjz";"384.660.113-08";2628113;"EM_CURSO";"GESTÃO PÚBLICA";"06/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aszZrj wPbhTi XSOhNU";"028.195.401-00";2608765;"EM_CURSO";"TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO";"01/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aTJKMn bDtACG ysPkTd";"649.310.625-72";2649723;"EM_CURSO";"TÉCNICO EM ELETRÔNICA";"02/09/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"ATqjIG wrwPwJ squNOl";"166.440.859-81";2671235;"EM_CURSO";"ESPECIALIZAÇÃO EM PRÁTICAS INTERPRETATIVAS EM MÚSICA POPULAR COM ÊNFASE EM FREVO";"30/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aTWmbj oMejLA wGXfxi";"073.266.479-24";2649719;"EM_CURSO";"TÉCNICO EM ELETRÔNICA";"02/09/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"atzfLT vxxEpe uqgttc";"641.908.333-36";2641105;"EM_CURSO";"ENSINO DA MATEMÁTICA NO ENSINO MÉDIO";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"auhEiR hdBtIg dzjeTb";"466.464.564-02";2608762;"EM_CURSO";"TÉCNICO EM MECÂNICA";"01/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AUKgfA URrvTP IMXbRX";"340.158.210-46";2580854;"EM_CURSO";"TÉCNICO EM ELETROTÉCNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AumFSd Agtgym gvrCOQ";"286.142.026-30";2580854;"EM_CURSO";"TÉCNICO EM ELETROTÉCNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AunqPt PiKrav vbWpLi";"205.409.745-03";2578410;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AuSPgE GjMdSa Qnbomf";"735.411.029-41";2628113;"EM_CURSO";"GESTÃO PÚBLICA";"06/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aUwAbZ irRZHX iimowW";"953.518.240-18";2641105;"EM_CURSO";"ENSINO DA MATEMÁTICA NO ENSINO MÉDIO";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AvdNZV PuxVEm fbNFdt";"924.196.445-35";2641105;"EM_CURSO";"ENSINO DA MATEMÁTICA NO ENSINO MÉDIO";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"avnEAe XNJWjK Bkwesk";"269.294.505-23";2580854;"EM_CURSO";"TÉCNICO EM ELETROTÉCNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AVvccq xvORug pcuQvA";"149.554.372-54";2580839;"EM_CURSO";"TÉCNICO EM ELETRÔNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AvwNCs fVDaWH DineUW";"619.468.547-22";2636508;"EM_CURSO";"GESTÃO DE TURISMO";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AWBDSg gxGfLz XOloTF";"620.263.886-71";2638114;"EM_CURSO";"GESTÃO AMBIENTAL";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AWEZno UlrIBd JjOpqT";"629.868.110-40";2592436;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"awJjCK qrMZlr rGeTpm";"477.359.332-48";2640319;"EM_CURSO";"TÉCNICO EM QUÍMICA";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aWmCtV ExPGzi moNgWx";"207.545.519-80";2640323;"EM_CURSO";"TÉCNICO EM QUÍMICA";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"awqgRZ UDWBLR wfkNbk";"155.657.042-57";2575384;"EM_CURSO";"GESTÃO DE TURISMO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aygtCS tfOIBC KFLIDP";"879.071.359-47";2671186;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"ayhmgx NCSwep ozzRxQ";"868.823.802-65";2580857;"DESLIGADO";"TÉCNICO EM ELETROTÉCNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aYMUEH EFTSfS DijgTR";"223.876.771-93";2578410;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aYWXsF wwkads urRJWy";"492.343.539-33";2635631;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aZOOVa DonKpf WOuMzd";"894.134.183-21";2640315;"EM_CURSO";"TÉCNICO EM MECÂNICA";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aZOqqk pssnSE UlVrcF";"501.949.369-75";2592436;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"Azpqww WtTSNQ icznPz";"782.649.058-73";2671191;"EM_CURSO";"ENGENHARIA CIVIL";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aZvtWr XSVMJy ULNLfT";"117.952.847-84";2580295;"EM_CURSO";"ENGENHARIA CIVIL";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aZvtWr XSVMJy ULNLfT";"117.952.847-84";2671191;"EM_CURSO";"ENGENHARIA CIVIL";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BABpdI iJMfSn kgQrHP";"724.565.503-92";2641105;"EM_CURSO";"ENSINO DA MATEMÁTICA NO ENSINO MÉDIO";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BAdfVb NHnhbJ rrWxam";"823.749.722-89";2640323;"EM_CURSO";"TÉCNICO EM QUÍMICA";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"badGKj OewtHy phVnnS";"367.230.538-06";2578406;"EM_CURSO";"TÉCNICO EM EDIFICAÇÕES";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BAFJXO bKNiBp mANhDI";"822.717.322-79";2593332;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"baKKrg zMYQRT zbxnZI";"137.889.732-87";2580867;"EM_CURSO";"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BAKmVF AWNrRd YrTdEs";"901.514.506-25";2638172;"EM_CURSO";"RADIOLOGIA";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"batMuP UDtyAg MSLvIa";"810.158.539-34";2580840;"EM_CURSO";"TÉCNICO EM ELETRÔNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BBhOcx XrKDDQ rlnWBb";"600.370.293-69";2673813;"EM_CURSO";"MESTRADO PROFISSIONAL EM GESTÃO AMBIENTAL";"01/03/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bBnFqE xhMZEm bOzYsz";"122.153.509-11";2635631;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BBSndQ Iqcpuo csgwfl";"378.576.193-37";2578399;"EM_CURSO";"TÉCNICO EM EDIFICAÇÕES";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bCbusH bFqXcf sFKWuG";"978.463.621-94";2578401;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bCHLDw KwxZuD CyfONL";"753.445.470-03";2635631;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bCitnB LFXCgm rFCRuk";"552.931.045-99";2671186;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bcLOpi dBGbJm QHTiLG";"315.792.337-85";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bclquZ TprWQX zTAzly";"382.778.877-79";2578399;"EM_CURSO";"TÉCNICO EM EDIFICAÇÕES";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BCPwbH Avkffz gaHnGj";"972.812.939-72";2592416;"EM_CURSO";"GESTÃO AMBIENTAL";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bcQgBf BGQOnz bHIpGy";"572.587.183-87";2608764;"EM_CURSO";"TÉCNICO EM MECÂNICA";"02/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bcTTOv AoaJUB qRapTl";"860.231.223-64";2580857;"ABANDONO";"TÉCNICO EM ELETROTÉCNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BCWwlW Ezkmze zRVZHQ";"863.680.306-60";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BdMIdh IHkcNA eOsZEs";"335.445.182-27";2628203;"EM_CURSO";"GEOGRAFIA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bDojct WsTUzn xjafPY";"283.668.710-72";2671191;"EM_CURSO";"ENGENHARIA CIVIL";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
