"NO_ALUNO";"NU_CPF";"CO_CICLO_MATRICULA";"NO_STATUS_MATRICULA"
"XSNNap DwjuHK dTSlqK";"18639028820";"521784";"CONCLUÍDA"
"vOIkeX pggvxr UjJaTc";"12885364289";"521784";"CONCLUÍDA"
"GUfYvp yPNoNE JcmSBh";"68981372004";"521784";"ABANDONO"
"nFgoQu pHcjTo GwHkZM";"81771177365";"521784";"ABANDONO"
"afsSys XLkgGe vsvolk";"26889794185";"521784";"ABANDONO"
"SMUeGV RABwMg ztPoyr";"16988406340";"521784";"ABANDONO"
"urniRx GFKLPk bRzQDN";"98755270717";"521784";"CONCLUÍDA"
"jtLUcM FcTVVy nVlWdz";"99212261717";"521784";"CONCLUÍDA"
"LtkoBs xOmMrR XiPaLX";"45453498182";"521784";"CONCLUÍDA"
"saXfCd KKLclg olxjtt";"90199539251";"521784";"CONCLUÍDA"
"qiHDaP RQSuvs SzFqtV";"69820252920";"521784";"CONCLUÍDA"
"qjPpiw GtEqMA ALyzDk";"98944631012";"521784";"CONCLUÍDA"
"UEoMGQ RQzCda bwLuPD";"53620380522";"521784";"CONCLUÍDA"
"zYcBwe jTUZxm HLuJOD";"27648897814";"521784";"CONCLUÍDA"
"kfBpfD FKuras YteRys";"67852450953";"521784";"CONCLUÍDA"
"HNujrz icJPxk EMQoZT";"81618129024";"521784";"CONCLUÍDA"
"gdPQaU EWLAWD cAfYnn";"90415011738";"521784";"ABANDONO"
"MmgiWe ghhqdR wytbqP";"02166303292";"1998276";"CONCLUÍDA"
"Rrtuwm YxIHRq OkyOJx";"98020650638";"1998276";"CONCLUÍDA"
"etaaTg kByfkz pUmxuP";"90666828884";"1998276";"CONCLUÍDA"
"ikgPkT qpGieH DNCJdv";"44479235315";"1998276";"CONCLUÍDA"
"eTYMfv xzoLyu rbINxU";"53513024276";"1998276";"EM_CURSO"
"qYmuIA EMMtSv wfXLrx";"11049840833";"1998276";"INTEGRALIZADA"
"SJjRXy NjDQzj FVYTSg";"34875272567";"1998276";"INTEGRALIZADA"
"uYZwMZ XQxGMX CvQXiH";"33125653663";"1998276";"INTEGRALIZADA"
"dNlDfc njBjsx yvllwq";"57364366835";"1998276";"INTEGRALIZADA"
"aiCrDV KUbLKk PxYnjh";"44572317040";"1998276";"INTEGRALIZADA"
"BGxFnR UmypcD joLWEo";"59934701394";"1998276";"INTEGRALIZADA"
"pOfACA AnfAHN jESrNl";"81745396009";"1998276";"INTEGRALIZADA"
"aPKzmp WjbMkM rRHysh";"11661908145";"1998276";"INTEGRALIZADA"
"xeDhBu PIJPvw iBwssW";"50633487725";"1998276";"INTEGRALIZADA"
"HEorjS JfnXXJ TGNKuh";"07568635671";"1998276";"INTEGRALIZADA"
"eynRNo VVBNCs WOfCan";"85729463641";"1998276";"ABANDONO"
"nuNATz QvwCAw OqbSnt";"48984830465";"1998276";"ABANDONO"
"hXvkSk gyDpaV zvhcwP";"55264762089";"1998276";"CONCLUÍDA"
"AKWBhh EXncsV pVWMoE";"52020570516";"1998276";"CONCLUÍDA"
"xzlBaz ntvRRB pZoquR";"84521183257";"1998276";"CONCLUÍDA"
"qgvczd bNyZER ipERjs";"84443909057";"1998276";"INTEGRALIZADA"
"mxbcRb BIFSAp pzFrKF";"81793807663";"1998276";"EM_CURSO"
"LfiaAX gntmPi Yejhof";"33126308168";"1998276";"ABANDONO"
"noMWJR BmZhqc xOBscj";"50131495757";"1998276";"EM_CURSO"
"fEGeKm PQHwNf HmcLcD";"92751121313";"1998276";"EM_CURSO"
"XznPgY pZkUnO GrTdpm";"52610470648";"1998276";"CONCLUÍDA"
"TVvuIF ybKraO gHWuJb";"46775767408";"1998276";"DESLIGADO"
"yKnTwx SdfOXb mxsPgy";"24874058962";"1998276";"EM_CURSO"
"eKsmrn dZLZzf WStPAH";"84086944188";"1998276";"ABANDONO"
"jKvXJp hFTNCM RFUdVk";"66664746331";"1998276";"ABANDONO"
"KujTxA oBZbCQ cJwMdl";"24553352855";"1998276";"EM_CURSO"
"ECDSPQ bvMXJz xmZCvd";"99338216955";"1998276";"ABANDONO"
"oxBLcU gVxOUg tRbpEY";"43380210700";"1998276";"ABANDONO"
"eUINzA UadBcD HLZsFl";"19842205881";"1998276";"ABANDONO"
"TKdOrh hdICXu oAsVbc";"35945586640";"1998276";"EM_CURSO"
"pRoFzD McqBAg ELiTLb";"90766001199";"1998276";"EM_CURSO"
"gxonsj IbLSJG HhFeVH";"48993019466";"1998276";"ABANDONO"
"EXoNST VEHefi NgmBoO";"51948330432";"1998276";"EM_CURSO"
"rfsROY obgZNG ByXWYY";"50132779294";"1998276";"EM_CURSO"
"dZLzsR XyPLec dqBLEl";"19591743225";"1998276";"INTEGRALIZADA"
"UDjhUq wBfbVU JDdbdr";"76225856019";"1998276";"EM_CURSO"
"NMySSp dmXHAx FsTgtU";"88606926684";"1998276";"INTEGRALIZADA"
"qJUqxm RQpvTT RMfnGo";"52848752511";"1998276";"EM_CURSO"
"XxcDGI kRXfjX rfbhlc";"72588897501";"1998276";"EM_CURSO"
"yNhtwn vjOiFI KhVmAf";"03881042161";"1998276";"ABANDONO"
"GpNlbY EYayQt NaXtwh";"32674761300";"1998276";"EM_CURSO"
"AXZfBh oSHjeH YqFuka";"95482653522";"1998276";"EM_CURSO"
"DvhUEF VDznIo qkCfXs";"08313012908";"1998276";"EM_CURSO"
"whjyxx SiNJss BJxSkR";"04521391690";"1998276";"CONCLUÍDA"
"lEOwaZ qjtDSR RInxGG";"79199642434";"1998276";"ABANDONO"
"bhbiIs cWfMLW NKELqh";"33945427793";"1998276";"ABANDONO"
"FqNFKF vTmjbd xCiJnW";"05172132160";"1998276";"ABANDONO"
"WBPbuc LbaLZH JRaXds";"09102341879";"1998276";"DESLIGADO"
"ehqtuO ONnOGh lMGOPF";"19424894739";"1998276";"DESLIGADO"
"beTEAd VCUDSC RVnKXy";"68666603172";"1998276";"DESLIGADO"
"lCtDEM tmIulr KAIJiL";"73795933596";"1998276";"DESLIGADO"
"NytRrh HYYuLs KBilAQ";"23086915313";"1998276";"DESLIGADO"
"lhccwl TuEfVt LXGAGT";"21699402927";"1998276";"DESLIGADO"
"PUtKEr Tooubt iOOdhp";"83487856143";"1998276";"ABANDONO"
"sioETl jnfTeN titTlc";"21459964634";"1998276";"ABANDONO"
"gNovuH DGSRFR lWJUSe";"77722974513";"1998276";"DESLIGADO"
"fSDpgo VaaDcC BapAfA";"67650036078";"1998276";"DESLIGADO"
"QuORvb JpLTTb rEsAEj";"87234202709";"1998276";"DESLIGADO"
"MZJkTh DLoGKw POKcvF";"13926770151";"1998276";"DESLIGADO"
"MjkgKd ZNtkGx wrKVKD";"60864010091";"1998276";"ABANDONO"
"TVhllt iKekNc XYKnUr";"36558136359";"1998276";"ABANDONO"
"NFcyRT rhfUQN QIQzgE";"86767751407";"1998276";"CONCLUÍDA"
"cNyakg faFyXi MDOaBY";"91931765725";"1998276";"CONCLUÍDA"
"shvTHa rVioqH IYbJLw";"09449697928";"1998276";"CONCLUÍDA"
"KGNHgT uiPMvt BLjtPk";"91695112928";"1998276";"CONCLUÍDA"
"UThbPN txsOmF pvWRbK";"88511165118";"1998276";"INTEGRALIZADA"
"XzlboN aDKCON ulCdIA";"72039578907";"1998276";"INTEGRALIZADA"
"lzzggE NBdFGP YrvARj";"93021889415";"1998276";"ABANDONO"
"yaRDVi yOdBGz PTIKLI";"08526981749";"2022768";"CONCLUÍDA"
"kwHqTq ctetfj lGOOkZ";"09178306112";"2022768";"CONCLUÍDA"
"MVEDVM jYhxhA FKdFRS";"54773349312";"2022768";"CONCLUÍDA"
"PyQwKY pykAdN gGdlEG";"55166952109";"2022768";"CONCLUÍDA"
"TgnbHm lZJtlh gAMIbB";"17822598937";"2022768";"CONCLUÍDA"
"fbMlGv alNsCt DfOTgS";"55985595921";"2022768";"CONCLUÍDA"
"kFuglc hRAjFH WOteGB";"98521645326";"2022768";"CONCLUÍDA"
"SpSjhk yWZfOh RzWTas";"17322454800";"2022768";"CONCLUÍDA"
"NEAVIY UevHJh sBKYkz";"18755209251";"2022768";"INTEGRALIZADA"
"jTwpYr rSnCrK ytfMju";"98508508452";"2022768";"INTEGRALIZADA"
"PocxAF CstXAj mKydFq";"68978432770";"2022768";"INTEGRALIZADA"
"FvAusD FDGbcQ UJbwSM";"54591890012";"2022768";"INTEGRALIZADA"
"inkhMc BggUQK arZiss";"64532836319";"2022768";"INTEGRALIZADA"
"iPRKpJ LFEIGl FzukYy";"43874718255";"2022768";"INTEGRALIZADA"
"nbzRqh zPbPKu Vcoquj";"70024761183";"2022768";"INTEGRALIZADA"
"mJNQpK nfKujp rijJXY";"82453292004";"2022768";"INTEGRALIZADA"
"wkvrXY OCsBac yqMJzz";"68645245089";"2022768";"INTEGRALIZADA"
"geFbRs WslkYa NjZZvK";"63903295335";"2022768";"INTEGRALIZADA"
"SRnzpo XynICW VOUJxa";"96419885763";"2022768";"INTEGRALIZADA"
"QLXGUu agBXmd MjIJNL";"46774196943";"2022768";"ABANDONO"
"ocRcfh VtfxKg kerCFY";"65969734819";"2022768";"ABANDONO"
"wUsXrU sCKKHD CGpBbj";"87431499777";"2022768";"ABANDONO"
"aJknHl fTAWtE xHUNox";"26975407153";"2022768";"ABANDONO"
"PIUgFY JjhOBf GbRucU";"49807094418";"2022768";"ABANDONO"
"FWRvfr CXZDst FBGeoD";"45259015595";"2022768";"CONCLUÍDA"
"wEHFjK exodai FoBzzY";"48560640105";"2022768";"ABANDONO"
"SUVKRh VSmmOc oAoEKR";"67329098292";"2022768";"EM_CURSO"
"HKMouU qrEDzk OSuvIY";"98903535358";"2022768";"EM_CURSO"
"MFaHZJ DDjJty WrrWya";"69797760768";"2022768";"EM_CURSO"
"kfAnkK lBLLzU WuhzQV";"87841641134";"2022768";"EM_CURSO"
"FFnVlQ bucijf elXrhA";"45429656811";"2022768";"EM_CURSO"
"EbhBtF lmNPpl aalGfK";"58858423350";"2022768";"EM_CURSO"
"gABQOb uYPmec AXpSqU";"73993458262";"2022768";"EM_CURSO"
"gtKcpX jHmhOD pRHUuu";"03613010417";"2022768";"EM_CURSO"
"aJTYru Cffzjs THdamm";"57373403656";"2022768";"CONCLUÍDA"
"rswjFe KNGaIh oUrvIO";"06753791670";"2022768";"ABANDONO"
"EaPXKX AUOWuQ HFnuIi";"08442019315";"2022768";"DESLIGADO"
"vdiAAx OxmPcL qfRSBX";"52639754504";"2022768";"EM_CURSO"
"okEIKL vNkilb CAYPAE";"17424421658";"2022768";"EM_CURSO"
"LGRbij mYMQys dztiNY";"93003862140";"2022768";"EM_CURSO"
"YbxChZ LegVHf VEoqkt";"63805678112";"2022768";"EM_CURSO"
"wqPcyH ToRRDY Vatfdc";"06294496656";"2022768";"EM_CURSO"
"aCHcPp nijPTp IwFMOk";"50350495890";"2022768";"EM_CURSO"
"Xrhllz bZbcCs yMoKfS";"17377448374";"2022768";"EM_CURSO"
"vyKprn NgfhBA SMjPbt";"78755798926";"2022768";"EM_CURSO"
"ZvdvVa WQsPmz wXCujR";"79670182446";"2022768";"EM_CURSO"
"JdJoyG tRzOEu JRWueB";"60205967927";"2022768";"CONCLUÍDA"
"yJEviF tRAKIH zifPkf";"73114755122";"2022768";"ABANDONO"
"SmYnfu yKXOIW zTnLBV";"32962235195";"2022768";"ABANDONO"
"WQnvIe AuhUGr VQCUKs";"03925198716";"2022768";"CONCLUÍDA"
"rYqfyA AsDzux SbzTUY";"32212810200";"2022768";"ABANDONO"
"fiTcCu PYycWG PaxPGO";"66128220731";"2022768";"ABANDONO"
"HTvLmW dhGxRN KVzVjT";"68347378407";"2022768";"ABANDONO"
"whnBaH SLHUbw UQZesY";"87340495333";"2022768";"ABANDONO"
"owolKc OHJvWk ssANSU";"45499255927";"2022768";"ABANDONO"
"kQEBoV StHOjZ bqIvYh";"99905296391";"2022768";"ABANDONO"
"nkoWoA aWlXhd kTbAqd";"78107375206";"2022768";"ABANDONO"
"oNxNpd liVbCB GrqikX";"34823685378";"2022768";"ABANDONO"
"GTTnuM JsjDHO BUFJSA";"26445894472";"2022768";"ABANDONO"
"kyLXGO zDuELE AURBKG";"33243310876";"2022768";"ABANDONO"
"ahBoUJ LIoCHA qWeteU";"41286785647";"2022768";"ABANDONO"
"nOSQId HkXMdY sXLCVf";"22800040595";"2022768";"DESLIGADO"
"RMAzKh vNXvEV WixmoB";"48512742978";"2022768";"DESLIGADO"
"VRWCDb XaTYDv VbaLNI";"64819759586";"2022768";"DESLIGADO"
"yyMQcP RFUFQi xjMzNg";"70142056967";"2022768";"DESLIGADO"
"sppGQM mdwjrQ TliIdz";"43421499743";"2022768";"DESLIGADO"
"Kaqzmy TxDoxT VOxNXn";"40951263005";"2022768";"DESLIGADO"
"LmalUD rNzUoy vHXChT";"20383712086";"2022768";"ABANDONO"
"MdYkEm OycPKI izDDiQ";"51925524496";"2022768";"ABANDONO"
"oKNLxx Ernouv oFRcAL";"25879558894";"2022768";"ABANDONO"
"cWQxdg DAxgHF rahapb";"93533899377";"2022768";"ABANDONO"
"tLWJbf epScsH rLzreJ";"93551637278";"2022768";"ABANDONO"
"DDSclP ZkrQQK tfOLAd";"95448377791";"2022768";"ABANDONO"
"FhIIEC KuXnwM eCupvj";"29039617304";"2022768";"ABANDONO"
"MgUpOC jWqNDp rDctxW";"88595065816";"2102961";"CONCLUÍDA"
"jdcAlj HiaFLB gppEyE";"43542980620";"2102961";"CONCLUÍDA"
"kLUntF tBrBnQ DrUnQf";"90458481301";"2102961";"CONCLUÍDA"
"etbPYO OHVoJr eaSWsL";"77984121502";"2102961";"CONCLUÍDA"
"nXvwun nlgMfF PGUMXv";"72395324669";"2102961";"CONCLUÍDA"
"RblsnP OxeGVV JhZXCa";"04870577534";"2102961";"CONCLUÍDA"
"eumOHw gZDXan YnioaS";"26002834850";"2102961";"CONCLUÍDA"
"KEvpWu RxPGDX QBTeuM";"08204001244";"2102961";"CONCLUÍDA"
"OcNTnf KmJsUA MYgqqa";"52054472446";"2102961";"CONCLUÍDA"
"RnEtym IApjGW rfNQWz";"73861789159";"2102961";"CONCLUÍDA"
"ofFFJA sGRXjR AxNHuM";"30377962362";"2102961";"CONCLUÍDA"
"eOAOyt KTTqEX oIkdLG";"65154669196";"2102961";"CONCLUÍDA"
"TMKVhn wtBNyF SRbqqF";"90380026038";"2102961";"ABANDONO"
"MdrQzK olHpyu GmRxUM";"44127678199";"2102961";"INTEGRALIZADA"
"nRIJLt FFfkud uUnNLu";"68437023909";"2102961";"INTEGRALIZADA"
"Ouxajk YCSSxR DKmMge";"46534901784";"2102961";"INTEGRALIZADA"
"XfHLQw BEMhwf YvxPqs";"75116413264";"2102961";"INTEGRALIZADA"
"cabPOc vfzTwI mwQxEI";"88723488241";"2102961";"CONCLUÍDA"
"efNAYL YhchcV UAhOBI";"52670698787";"2102961";"INTEGRALIZADA"
"TxQeqI YkpChK dqGbca";"88548611455";"2102961";"INTEGRALIZADA"
"QIcbfu PucRsy zdvbfq";"92591056995";"2102961";"INTEGRALIZADA"
"AGjcLB NJVFFs RSUhDS";"83194051041";"2102961";"INTEGRALIZADA"
"LCCvIt bVOUxO HZYJpk";"94822901488";"2102961";"INTEGRALIZADA"
"iuJbyk trKvVM EFnCrI";"49273951763";"2102961";"INTEGRALIZADA"
"nWDokL oGeDAa CnMagk";"03364559274";"2102961";"INTEGRALIZADA"
"ERJnRA HaPPgG FJGENO";"40143663418";"2102961";"INTEGRALIZADA"
"ShhqAW AeTnwb CZbaEa";"00915569785";"2102961";"INTEGRALIZADA"
"GqLrYX VlAUNt AtbPPa";"99699102204";"2102961";"INTEGRALIZADA"
"OQWwed pMIqeY knCsHg";"18569957715";"2102961";"INTEGRALIZADA"
"pombJi bpTDmg qgAvcm";"86174286537";"2102961";"INTEGRALIZADA"
"fKfXKd oYxqGf CvFlLd";"49528714051";"2102961";"INTEGRALIZADA"
"IZVLeV HzyafQ mhCWcs";"32810293103";"2102961";"CONCLUÍDA"
"tPEjIP QevrCU dFafVM";"70943843825";"2102961";"CONCLUÍDA"
"ZgJgeg uxVaAE hrYmno";"16858749975";"2102961";"ABANDONO"
"qAEWLx QLhNNS pUchnG";"78561831927";"2102961";"EM_CURSO"
"IXNNJb bqRYcN OlTcBb";"13147883426";"2102961";"EM_CURSO"
"DfiWyG iwdQQa iHnILV";"04707028346";"2102961";"EM_CURSO"
"KBWYMQ zMvwir FsHewY";"81183994117";"2102961";"EM_CURSO"
"DtYcwO kkOCyS aLJGkA";"15685937443";"2102961";"EM_CURSO"
"buhNMo OejJDp RCpQvZ";"07389320193";"2102961";"EM_CURSO"
"auFChA gxJBKy ORrNIR";"44794410864";"2102961";"EM_CURSO"
"NrvyIC VjdJaT TvpPzI";"59073651915";"2102961";"EM_CURSO"
"DQheoz alWNNF RLDKdC";"94123247615";"2102961";"EM_CURSO"
"nXxfwR sMggas WsBumN";"25022503044";"2102961";"ABANDONO"
"wWbZIH MwkySi rYEUPA";"04726088416";"2102961";"ABANDONO"
"KnLega qVfNSL JfaJYu";"18348126404";"2102961";"EM_CURSO"
"ZQjwRR NbassH JDaskl";"51353753643";"2102961";"EM_CURSO"
"FUGvVP aSqHSc nzyyMG";"22552774799";"2102961";"EM_CURSO"
"MQlhTr HVmSSK rfTPJu";"99485401866";"2102961";"EM_CURSO"
"XFhbvV konmXZ RnspTH";"63188897544";"2102961";"ABANDONO"
"iVkxQA QndHcN TWXzaD";"37855134482";"2102961";"ABANDONO"
"nIociY OoJJZt pzGrhe";"67596182937";"2102961";"EM_CURSO"
"LeQqRs FkTUQu dLwQOx";"39434415461";"2102961";"EM_CURSO"
"eATcyR gUPufy xSFjna";"26552924427";"2102961";"EM_CURSO"
"FHierm rxefNI kJTAIx";"39749374840";"2102961";"EM_CURSO"
"smdOnb lBIILL AOcCgY";"13936409074";"2102961";"ABANDONO"
"ZsJgZU lpwPAZ KFdcGK";"15675774379";"2102961";"EM_CURSO"
"ApVKcm kxAVVG psZnbN";"34073397260";"2102961";"ABANDONO"
"qQIwYR XXGvhE hZDOeZ";"36130877092";"2102961";"ABANDONO"
"PHWnPE LnOaVZ ohXRxn";"62571970107";"2102961";"ABANDONO"
"fOytvd ecixTx jlIQHH";"46553713324";"2102961";"ABANDONO"
"suHIRj IoDErj vQcnFn";"17613415011";"2102961";"INTEGRALIZADA"
"UMjUHq QioeNc DnpleW";"46730416457";"2466005";"CONCLUÍDA"
"ZSjoca RgkEME GIXzza";"83797372118";"2466005";"ABANDONO"
"BUWBVK cQpxVE jSlKIE";"92135337507";"2466005";"ABANDONO"
"acItid xiBPDH SNibmV";"80589842424";"2466005";"ABANDONO"
"veWGMe kZzKQD zFrleX";"87996718500";"2466005";"CONCLUÍDA"
"Yydnnd eeCLTf tyrxeZ";"98330562485";"2466005";"INTEGRALIZADA"
"vIsMHt nvIXIb OfPpTA";"66324487786";"2466005";"CONCLUÍDA"
"XqLtlJ vSHWkB idhjRU";"95596017853";"2466005";"CONCLUÍDA"
"nhjidX iguqGW CdKhfy";"89372202604";"2466005";"CONCLUÍDA"
"DnVUWb eOTFIK UyaakY";"62108935059";"2466005";"EM_CURSO"
"iYRGwH Izcifp ehAPrS";"54201902799";"2466005";"CONCLUÍDA"
"kEWamA mATAZS urCBmN";"00297760227";"2466005";"CONCLUÍDA"
"KGxCIz rvdUOy qqFiet";"03307304850";"2466005";"CONCLUÍDA"
"bImxkV xbxfxP vrIFnD";"89200587046";"2466005";"CONCLUÍDA"
"DAZYGH PDhbJW KqDSCL";"63267574926";"2466005";"CONCLUÍDA"
"HDPXES XhxKqL bvRtIY";"50459780977";"2466005";"CONCLUÍDA"
"ZlPTvN HfJTin CZlOvC";"55462753566";"2466005";"DESLIGADO"
"NHgZKg PONfdU ABKgRk";"12331178711";"2466005";"ABANDONO"
"ffDIUF XFuMTF UQENJt";"77825662227";"2466005";"ABANDONO"
"xkhTkj IwLVdm omoQNT";"96069352935";"2466005";"ABANDONO"
"fIHqbH hRNGUR yvAjcj";"62716306627";"2466005";"ABANDONO"
"rWHAbT aSkyVp NOaoBV";"42433562291";"2466005";"ABANDONO"
"EkXhEn gsKpVG hijzuO";"06935156861";"2466005";"ABANDONO"
"kjFnoH cxREWO gwhoek";"92758445460";"2466005";"ABANDONO"
"cJuxCc XfGnqT KmfdCp";"43184065789";"2466005";"ABANDONO"
"rndOuJ dmwrib ALUZis";"58490560205";"2466005";"ABANDONO"
"IWrmET WdzSSJ gqkSPW";"93269141254";"2466005";"ABANDONO"
"SNEVrs PxyOcF mxUfpo";"15057211819";"2466005";"ABANDONO"
"JbcGVH AexKuZ tMtIbX";"58767873141";"2466005";"ABANDONO"
"FGKDKa FHahwr HaLXnA";"03159130223";"2466005";"ABANDONO"
"jHKBNG gaCkSH aVCAEs";"66244373014";"2466005";"ABANDONO"
"YFFDnt rVPevo NNKnOu";"18958214331";"2466005";"ABANDONO"
"DfiWyG iwdQQa iHnILV";"04707028346";"2466005";"ABANDONO"
"JjkLAf KBEFVT XvGrtI";"44572804382";"2466005";"ABANDONO"
"VKJoGI ixLqzp tAcuIy";"04367285309";"2466005";"ABANDONO"
"ycJZNd aATdlG JXOeWV";"41596464097";"2466005";"ABANDONO"
"grluLR nVtfKL EyqWDZ";"57717383477";"2466005";"ABANDONO"
"BGxJMM bkJFBn DpqldF";"19968318592";"2466005";"ABANDONO"
"jBbkkx DKWSit EvjiYf";"42629690902";"2466005";"ABANDONO"
"hsXZJr YmkibO efwuUa";"00303052342";"2466005";"ABANDONO"
"tYetzO qdNeWr Uxozzy";"45945884550";"2466005";"INTEGRALIZADA"
"IBgLFs eUmSvk iFozJi";"96746994543";"2466005";"TRANSF_EXT"
"VvfOFq qgQuuD BHpGuT";"46815282485";"2466005";"CONCLUÍDA"
"MvwKje YmnRBU CgyrGT";"81573020156";"2466005";"CONCLUÍDA"
"fPPIIW IgnBne ZVBmWw";"97010901131";"2466005";"ABANDONO"
"gUTjjU MaBZsh XFCSrv";"54109488159";"2466005";"ABANDONO"
"vyqLww PgwmFr ICcGXZ";"19287678682";"2466005";"ABANDONO"
"iSHPcp qagxDw uKEWMB";"36339134400";"2466005";"DESLIGADO"
"dfIxsq VKWQMM BclcNs";"94009217392";"2466005";"CONCLUÍDA"
"PApwXK OPsddn YxHZtL";"72915623261";"2466005";"CONCLUÍDA"
"Atqvfz Vyblze CfOdYX";"04893056800";"2466005";"CONCLUÍDA"
"ILNCrO IevLTq ylxscD";"56255864917";"2466005";"CONCLUÍDA"
"jPUiDJ JNXNxz LwCaPq";"13158342023";"2466005";"CONCLUÍDA"
"btPvDF taViPN gGajvW";"59996042870";"2466005";"ABANDONO"
"ZOVPdM YMLqHr RcYpQm";"17178373982";"2466005";"ABANDONO"
"yCkcDM WOZcSP aAFVdR";"61091681103";"2466005";"ABANDONO"
"YsmeuJ vnqGNf NZbhmS";"69188087697";"2466005";"ABANDONO"
"JttZxf fwWayE qtvMZB";"93724959096";"2466005";"ABANDONO"
"rkQhjD ycCpGY uNADvu";"12188933126";"2466005";"ABANDONO"
"tGtMji nVCfoA KRPlqr";"19820677735";"2466005";"ABANDONO"
